Timestamp,Sensor 1 (mm),Sensor 2 (mm)
2025-07-12 18:31:22.382,136.0,166.6748046875
2025-07-12 18:31:22.415,136.0,166.6748046875
2025-07-12 18:31:22.450,136.0,166.6259765625
2025-07-12 18:31:22.484,136.0,166.50390625
2025-07-12 18:31:22.517,136.0,166.4306640625
2025-07-12 18:31:22.552,135.0,166.4794921875
2025-07-12 18:31:22.585,135.0,166.7236328125
2025-07-12 18:31:22.619,135.0,166.796875
2025-07-12 18:31:22.654,135.0,166.796875
2025-07-12 18:31:22.688,135.0,166.69921875
2025-07-12 18:31:22.723,135.0,166.3330078125
2025-07-12 18:31:22.757,135.0,166.2841796875
2025-07-12 18:31:22.791,135.0,166.30859375
2025-07-12 18:31:22.826,135.0,166.4306640625
2025-07-12 18:31:22.860,135.0,166.5283203125
2025-07-12 18:31:22.894,135.0,166.552734375
2025-07-12 18:31:22.929,135.0,166.5283203125
2025-07-12 18:31:22.963,135.0,166.5283203125
2025-07-12 18:31:22.996,135.0,166.6259765625
2025-07-12 18:31:23.031,135.0,166.6015625
2025-07-12 18:31:23.065,135.0,166.552734375
2025-07-12 18:31:23.100,135.0,166.4794921875
2025-07-12 18:31:23.134,135.0,166.69921875
2025-07-12 18:31:23.168,135.0,167.3583984375
2025-07-12 18:31:23.202,135.0,166.2109375
2025-07-12 18:31:23.236,135.0,165.5029296875
2025-07-12 18:31:23.270,135.0,165.4541015625
2025-07-12 18:31:23.303,135.0,165.9912109375
2025-07-12 18:31:23.338,135.0,166.845703125
2025-07-12 18:31:23.372,135.0,167.6513671875
2025-07-12 18:31:23.406,135.0,167.7734375
2025-07-12 18:31:23.440,135.0,167.48046875
2025-07-12 18:31:23.474,135.0,166.9189453125
2025-07-12 18:31:23.508,135.0,166.455078125
2025-07-12 18:31:23.542,135.0,166.5283203125
2025-07-12 18:31:23.576,135.0,166.796875
2025-07-12 18:31:23.610,135.0,166.9921875
2025-07-12 18:31:23.644,135.0,166.9921875
2025-07-12 18:31:23.679,136.0,166.845703125
2025-07-12 18:31:23.713,136.0,166.7724609375
2025-07-12 18:31:23.746,136.0,166.7724609375
2025-07-12 18:31:23.780,136.0,166.8212890625
2025-07-12 18:31:23.814,136.0,166.943359375
2025-07-12 18:31:23.848,136.0,166.943359375
2025-07-12 18:31:23.882,136.0,166.943359375
2025-07-12 18:31:23.916,136.0,166.943359375
2025-07-12 18:31:23.950,136.0,166.943359375
2025-07-12 18:31:23.984,136.0,166.943359375
2025-07-12 18:31:24.018,136.0,166.943359375
2025-07-12 18:31:24.052,136.0,166.9921875
2025-07-12 18:31:24.087,136.0,166.9921875
2025-07-12 18:31:24.120,136.0,167.0166015625
2025-07-12 18:31:24.154,136.0,167.0166015625
2025-07-12 18:31:24.189,136.0,167.041015625
2025-07-12 18:31:24.223,136.0,167.7490234375
2025-07-12 18:31:24.257,136.0,169.53125
2025-07-12 18:31:24.292,136.0,171.3134765625
2025-07-12 18:31:24.327,136.0,171.77734375
2025-07-12 18:31:24.360,136.0,171.77734375
2025-07-12 18:31:24.395,136.0,171.77734375
2025-07-12 18:31:24.429,136.0,171.77734375
2025-07-12 18:31:24.464,136.0,171.77734375
2025-07-12 18:31:24.498,136.0,171.77734375
2025-07-12 18:31:24.533,136.0,171.77734375
2025-07-12 18:31:24.567,136.0,171.77734375
2025-07-12 18:31:24.601,136.0,171.77734375
2025-07-12 18:31:24.635,136.0,171.77734375
2025-07-12 18:31:24.668,136.0,171.77734375
2025-07-12 18:31:24.702,136.0,171.77734375
2025-07-12 18:31:24.736,136.0,171.7529296875
2025-07-12 18:31:24.770,136.0,171.7529296875
2025-07-12 18:31:24.804,136.0,171.7529296875
2025-07-12 18:31:24.838,136.0,171.728515625
2025-07-12 18:31:24.872,136.0,171.728515625
2025-07-12 18:31:24.906,136.0,171.728515625
2025-07-12 18:31:24.940,136.0,171.728515625
2025-07-12 18:31:24.974,136.0,171.728515625
2025-07-12 18:31:25.008,136.0,171.728515625
2025-07-12 18:31:25.042,137.0,171.7041015625
2025-07-12 18:31:25.076,137.0,171.7041015625
2025-07-12 18:31:25.109,137.0,171.7041015625
2025-07-12 18:31:25.143,137.0,171.7041015625
